nm	n	k
1107.320068	1.71185	0.064745
1110	1.709934	0.065226
1110.707642	1.709427	0.065353
1114.095825	1.706995	0.065966
1117.484375	1.704556	0.066584
1120	1.702739	0.067047
1120.873413	1.702107	0.067209
1124.262939	1.699651	0.067838
1127.653076	1.697186	0.068474
1130	1.695474	0.068917
1131.043701	1.694712	0.069115
1134.434692	1.69223	0.069761
1137.826172	1.689739	0.070414
1140	1.688139	0.070835
1141.218262	1.68724	0.071072
1144.610718	1.684732	0.071736
1148.003662	1.682216	0.072406
1150	1.680731	0.072803
1151.397217	1.67969	0.073082
1154.79126	1.677156	0.073764
1158.185791	1.674613	0.074452
1160	1.673251	0.074822
1161.580688	1.672062	0.075146
1164.976074	1.669501	0.075847
1168.37207	1.666931	0.076553
1170	1.665696	0.076894
1171.768433	1.664353	0.077266
1175.165405	1.661765	0.077985
1178.562744	1.659168	0.07871
1180	1.658067	0.079019
1181.960693	1.656563	0.079442
1185.359131	1.653948	0.08018
1188.757935	1.651323	0.080925
1190	1.650362	0.081198
1192.157349	1.64869	0.081676
1195.557129	1.646047	0.082434
1198.95752	1.643395	0.083198
1200	1.64258	0.083434
1202.358276	1.640734	0.083969
1205.759644	1.638063	0.084747
1209.161377	1.635383	0.085532
1210	1.634721	0.085727
1212.563721	1.632693	0.086324
1215.966553	1.629994	0.087122
1219.369873	1.627285	0.087928
1220	1.626782	0.088078
1222.773682	1.624566	0.088741
1226.177856	1.621838	0.089561
1229.582642	1.6191	0.090388
1230	1.618764	0.090489
1232.987793	1.616353	0.091222
1236.393555	1.613595	0.092063
1239.799683	1.610828	0.092912
1240	1.610665	0.092962
1243.206421	1.608051	0.093769
1246.613525	1.605264	0.094633
1250	1.602484	0.095499
1250.02124	1.602467	0.095504
1253.429443	1.59966	0.096383
1256.838135	1.596842	0.09727
1260	1.594221	0.098099
1260.247314	1.594015	0.098165
1263.65686	1.591178	0.099067
1267.067017	1.58833	0.099977
1270	1.585873	0.100767
1270.477661	1.585473	0.100896
1273.888672	1.582605	0.101822
1277.300293	1.579726	0.102757
1280	1.577442	0.103502
1280.71228	1.576838	0.103699
